frame,episode,ep_return,ep_len,loss
515,1,16.0,515,
1018,2,22.0,503,
1489,3,22.0,471,
1860,4,18.0,371,
2355,5,18.0,495,
2756,6,17.0,401,
3253,7,22.0,497,
3752,8,24.0,499,
4233,9,22.0,481,
4728,10,20.0,495,
5227,11,22.0,499,0.014222005382180214
5634,12,13.0,407,0.03158188611268997
6631,13,46.0,997,0.001804981380701065
7226,14,33.0,595,0.03299052268266678
7737,15,27.0,511,0.03364082798361778
8158,16,23.0,421,0.01817467249929905
8651,17,28.0,493,0.05745376646518707
9334,18,43.0,683,0.032491061836481094
9679,19,10.0,345,0.04422183707356453
10230,20,34.0,551,0.0035980166867375374
10647,21,16.0,417,0.004356649704277515
11116,22,21.0,469,0.026574423536658287
11609,23,20.0,493,0.042420484125614166
12080,24,25.0,471,0.02631346881389618
12537,25,27.0,457,0.015172785148024559
13358,26,43.0,821,0.04572656378149986
13805,27,16.0,447,0.015987012535333633
14410,28,41.0,605,0.0035122912377119064
14987,29,35.0,577,0.02305607870221138
15500,30,33.0,513,0.023690320551395416
16047,31,26.0,547,0.04937691614031792
16486,32,25.0,439,0.013669326901435852
16999,33,22.0,513,0.014261947944760323
17556,34,35.0,557,0.026095325127243996
17889,35,13.0,333,0.02259923331439495
18522,36,41.0,633,0.01199527271091938
18953,37,22.0,431,0.01710694655776024
19450,38,21.0,497,0.011493691243231297
19989,39,31.0,539,0.026417607441544533
20532,40,35.0,543,0.016144830733537674
21015,41,18.0,483,0.017870405688881874
21616,42,41.0,601,0.003049945691600442
22119,43,14.0,503,0.0408240370452404
22660,44,24.0,541,0.0316898413002491
23073,45,20.0,413,0.027392351999878883
23602,46,36.0,529,0.016307048499584198
24021,47,26.0,419,0.014703957363963127
24470,48,18.0,449,0.006371613591909409
24905,49,26.0,435,0.010938710533082485
25370,50,24.0,465,0.04140656068921089
25737,51,16.0,367,0.01072195079177618
26230,52,26.0,493,0.031963784247636795
26619,53,22.0,389,0.0029253861866891384
27084,54,19.0,465,0.015856722369790077
27483,55,21.0,399,0.0030480092391371727
27924,56,33.0,441,0.03311897814273834
28463,57,31.0,539,0.016235046088695526
28972,58,32.0,509,0.027604591101408005
29465,59,25.0,493,0.03092377819120884
29890,60,23.0,425,0.012890391051769257
30325,61,27.0,435,0.026227809488773346
30766,62,17.0,441,0.015422090888023376
31321,63,29.0,555,0.012695016339421272
31738,64,15.0,417,0.02119918167591095
32245,65,25.0,507,0.017397210001945496
32920,66,53.0,675,0.0095808245241642
33399,67,19.0,479,0.022863518446683884
33934,68,32.0,535,0.02471858263015747
34327,69,19.0,393,0.05443026125431061
34832,70,24.0,505,0.02476128190755844
35219,71,15.0,387,0.029349781572818756
35728,72,34.0,509,0.007375297602266073
36219,73,29.0,491,0.009290950372815132
36734,74,28.0,515,0.027052655816078186
37215,75,30.0,481,0.03780009597539902
37726,76,22.0,511,0.019831037148833275
38225,77,29.0,499,0.018515005707740784
38780,78,26.0,555,0.00525198457762599
39335,79,37.0,555,0.00960925780236721
40000,80,33.0,665,0.006365010980516672
40325,81,12.0,325,0.027734998613595963
40826,82,26.0,501,0.012965396046638489
41387,83,33.0,561,0.015417889691889286
41776,84,17.0,389,0.015104521997272968
42191,85,19.0,415,0.025549497455358505
42638,86,20.0,447,0.04109092056751251
43057,87,30.0,419,0.015513550490140915
43616,88,26.0,559,0.021662700921297073
44173,89,25.0,557,0.010980797931551933
44756,90,40.0,583,0.0329495370388031
45265,91,29.0,509,0.013615716248750687
45720,92,14.0,455,0.015097790397703648
46131,93,22.0,411,0.044365737587213516
46652,94,33.0,521,0.016094056889414787
47095,95,26.0,443,0.01588461361825466
47488,96,19.0,393,0.010399317368865013
48009,97,18.0,521,0.03452938795089722
48454,98,17.0,445,0.01992853544652462
48983,99,21.0,529,0.008370965719223022
49424,100,25.0,441,0.01414517592638731
50003,101,28.0,579,0.012140598148107529
50518,102,20.0,515,0.017010876908898354
50985,103,20.0,467,0.03340782970190048
51474,104,32.0,489,0.01357682142406702
51921,105,21.0,447,0.01670677959918976
52468,106,32.0,547,0.02669716253876686
53025,107,25.0,557,0.01241983100771904
53446,108,19.0,421,0.07472803443670273
54013,109,31.0,567,0.013828585855662823
54446,110,18.0,433,0.04887021332979202
54875,111,27.0,429,0.09067197144031525
55434,112,38.0,559,0.05218719691038132
56291,113,51.0,857,0.022394854575395584
56974,114,27.0,683,0.037130892276763916
57631,115,44.0,657,0.006962720770388842
58026,116,25.0,395,0.021414829418063164
58575,117,36.0,549,0.029820341616868973
59108,118,31.0,533,0.006856679450720549
59681,119,40.0,573,0.03626305237412453
60214,120,15.0,533,0.04553816467523575
60653,121,32.0,439,0.027743685990571976
61056,122,21.0,403,0.04413536190986633
61869,123,44.0,813,0.029529977589845657
62354,124,26.0,485,0.029306922107934952
62875,125,30.0,521,0.055242303758859634
63604,126,41.0,729,0.025924578309059143
64011,127,21.0,407,0.03260699659585953
64440,128,27.0,429,0.023871922865509987
64883,129,23.0,443,0.01821867749094963
65394,130,24.0,511,0.011575834825634956
65905,131,30.0,511,0.04154454171657562
66416,132,22.0,511,0.029671650379896164
66903,133,24.0,487,0.011479929089546204
67404,134,34.0,501,0.06692302972078323
67745,135,14.0,341,0.01333051361143589
68184,136,23.0,439,0.024393383413553238
68611,137,24.0,427,0.030422497540712357
69054,138,25.0,443,0.03955291956663132
69625,139,27.0,571,0.01117236353456974
70066,140,28.0,441,0.021384401246905327
70481,141,22.0,415,0.012939720414578915
71256,142,44.0,775,0.029117120429873466
71791,143,32.0,535,0.011431848630309105
72262,144,29.0,471,0.07192796468734741
72819,145,26.0,557,0.02303895354270935
73250,146,26.0,431,0.05272071808576584
73833,147,35.0,583,0.016608698293566704
74292,148,29.0,459,0.016666598618030548
74765,149,22.0,473,0.03288741409778595
75194,150,25.0,429,0.012247917242348194
75565,151,23.0,371,0.03424894064664841
76044,152,31.0,479,0.012923354282975197
76513,153,23.0,469,0.06646402180194855
77258,154,45.0,745,0.04008368402719498
77693,155,25.0,435,0.023380473256111145
78190,156,25.0,497,0.03308046609163284
78561,157,22.0,371,0.041514329612255096
78912,158,18.0,351,0.0289812870323658
79327,159,25.0,415,0.020602257922291756
79812,160,25.0,485,0.02243916131556034
80281,161,24.0,469,0.03485381230711937
80714,162,24.0,433,0.02641773596405983
81171,163,34.0,457,0.01276534516364336
81884,164,48.0,713,0.05376172065734863
82445,165,37.0,561,0.03847925364971161
83204,166,44.0,759,0.012326464988291264
83681,167,35.0,477,0.04167890548706055
84228,168,32.0,547,0.02005179598927498
84777,169,30.0,549,0.038219913840293884
85298,170,38.0,521,0.014862132258713245
85789,171,35.0,491,0.015948724001646042
86352,172,29.0,563,0.019555049017071724
86869,173,23.0,517,0.030098626390099525
87504,174,22.0,635,0.057626135647296906
88021,175,35.0,517,0.04873393848538399
88576,176,34.0,555,0.0114873256534338
89079,177,30.0,503,0.03203717619180679
89468,178,16.0,389,0.024687083438038826
89883,179,18.0,415,0.018977371975779533
90426,180,26.0,543,0.0227881520986557
91191,181,51.0,765,0.03492395579814911
91652,182,31.0,461,0.03876028582453728
92081,183,17.0,429,0.024859990924596786
92518,184,27.0,437,0.0378677174448967
92947,185,20.0,429,0.023037929087877274
93470,186,46.0,523,0.018138129264116287
93997,187,33.0,527,0.01982227899134159
94426,188,25.0,429,0.07905805855989456
94881,189,36.0,455,0.022347141057252884
95386,190,34.0,505,0.06069830432534218
96053,191,50.0,667,0.03387215733528137
96556,192,21.0,503,0.030275382101535797
97019,193,23.0,463,0.024354323744773865
97640,194,34.0,621,0.022906888276338577
98103,195,27.0,463,0.018913961946964264
98562,196,26.0,459,0.02406371757388115
99121,197,33.0,559,0.03838098421692848
99564,198,19.0,443,0.024117618799209595
100081,199,30.0,517,0.021622996777296066
100588,200,23.0,507,0.04971599578857422
101053,201,34.0,465,0.01875472441315651
101460,202,34.0,407,0.06643104553222656
101843,203,27.0,383,0.03666786476969719
102230,204,21.0,387,0.02027767151594162
102759,205,39.0,529,0.023014096543192863
103206,206,23.0,447,0.021415987983345985
103751,207,27.0,545,0.054222963750362396
104266,208,20.0,515,0.04874209314584732
104761,209,26.0,495,0.01580365002155304
105506,210,45.0,745,0.03660642355680466
106071,211,38.0,565,0.04771057516336441
106944,212,61.0,873,0.194106325507164
107637,213,45.0,693,0.030594469979405403
108046,214,24.0,409,0.020721301436424255
108537,215,31.0,491,0.0343962088227272
109088,216,38.0,551,0.016392244026064873
109491,217,30.0,403,0.021591605618596077
110086,218,29.0,595,0.052471794188022614
110557,219,29.0,471,0.053927190601825714
111002,220,29.0,445,0.03828407824039459
111581,221,33.0,579,0.06393389403820038
112456,222,54.0,875,0.017401808872818947
112811,223,16.0,355,0.03588390350341797
113328,224,43.0,517,0.02591870352625847
113909,225,41.0,581,0.1091967448592186
114392,226,41.0,483,0.04238981753587723
115005,227,32.0,613,0.027955593541264534
115536,228,35.0,531,0.04810337722301483
116027,229,31.0,491,0.04189969226717949
116692,230,42.0,665,0.029006777331233025
117275,231,34.0,583,0.020932219922542572
117966,232,48.0,691,0.03657647967338562
118433,233,28.0,467,0.022509364411234856
118820,234,22.0,387,0.04636051505804062
119553,235,47.0,733,0.04299240559339523
120454,236,72.0,901,0.042778629809617996
120973,237,38.0,519,0.1037108525633812
121468,238,30.0,495,0.07496848702430725
121907,239,39.0,439,0.0473187081515789
122356,240,29.0,449,0.04943070560693741
123075,241,39.0,719,0.10393719375133514
123516,242,24.0,441,0.04841484874486923
123933,243,28.0,417,0.04031844064593315
124612,244,37.0,679,0.035032108426094055
125031,245,21.0,419,0.02257554791867733
125486,246,22.0,455,0.03590404614806175
126037,247,33.0,551,0.03005995601415634
126738,248,45.0,701,0.07331879436969757
127199,249,23.0,461,0.05410928651690483
127660,250,32.0,461,0.027171965688467026
128179,251,37.0,519,0.026244353502988815
128742,252,30.0,563,0.03679187223315239
129295,253,36.0,553,0.041526056826114655
129868,254,47.0,573,0.04544839635491371
130695,255,49.0,827,0.051829881966114044
131176,256,30.0,481,0.037145692855119705
131773,257,38.0,597,0.0672159343957901
132204,258,31.0,431,0.02472561039030552
132915,259,60.0,711,0.051395267248153687
133578,260,46.0,663,0.025785282254219055
134231,261,46.0,653,0.04054712504148483
134732,262,22.0,501,0.04683823883533478
135191,263,27.0,459,0.03331123664975166
135702,264,33.0,511,0.03801167756319046
136415,265,49.0,713,0.018429502844810486
136818,266,31.0,403,0.06350122392177582
137393,267,41.0,575,0.013732885010540485
137922,268,33.0,529,0.18399204313755035
138605,269,42.0,683,0.02348625659942627
139084,270,28.0,479,0.11659605801105499
139445,271,31.0,361,0.031502243131399155
139780,272,27.0,335,0.03247098624706268
140321,273,48.0,541,0.07136272639036179
141022,274,57.0,701,0.04879055544734001
141635,275,44.0,613,0.02631441317498684
142370,276,47.0,735,0.045514095574617386
142977,277,39.0,607,0.025613175705075264
143422,278,31.0,445,0.021583905443549156
144091,279,47.0,669,0.0711718499660492
144592,280,25.0,501,0.029214464128017426
145373,281,47.0,781,0.033648163080215454
146042,282,66.0,669,0.05183671414852142
146599,283,42.0,557,0.06367418169975281
147070,284,33.0,471,0.05385342985391617
147727,285,48.0,657,0.04466915875673294
148472,286,67.0,745,0.03791488707065582
148995,287,33.0,523,0.1476367861032486
149474,288,33.0,479,0.04581069573760033
149967,289,39.0,493,0.05681275948882103
150612,290,46.0,645,0.06585222482681274
151209,291,41.0,597,0.03539939969778061
151754,292,41.0,545,0.1969708502292633
152221,293,29.0,467,0.044590022414922714
152772,294,34.0,551,0.03433746472001076
153175,295,23.0,403,0.0529819056391716
153730,296,25.0,555,0.051296643912792206
154243,297,35.0,513,0.021477647125720978
154836,298,50.0,593,0.03679259493947029
155633,299,50.0,797,0.05767388269305229
156176,300,32.0,543,0.05868443474173546
156685,301,37.0,509,0.03337985277175903
156958,302,13.0,273,0.03988049179315567
157441,303,30.0,483,0.05162675678730011
158288,304,66.0,847,0.024766139686107635
159085,305,55.0,797,0.05633727088570595
159528,306,30.0,443,0.0849873274564743
160115,307,37.0,587,0.04106441140174866
160562,308,36.0,447,0.04801398143172264
161235,309,40.0,673,0.08640949428081512
161938,310,55.0,703,0.0851215198636055
162305,311,27.0,367,0.060096923261880875
162912,312,54.0,607,0.04009343683719635
163395,313,29.0,483,0.05846875160932541
163874,314,31.0,479,0.035953253507614136
164417,315,32.0,543,0.046586908400058746
164894,316,28.0,477,0.03783510625362396
165525,317,52.0,631,0.1405796855688095
165878,318,25.0,353,0.0754479467868805
166559,319,41.0,681,0.03546370565891266
167430,320,77.0,871,0.08465386182069778
168301,321,50.0,871,0.17545536160469055
168764,322,28.0,463,0.0366407111287117
169233,323,37.0,469,0.10459878295660019
169746,324,46.0,513,0.04209413379430771
170205,325,39.0,459,0.06785251945257187
170856,326,44.0,651,0.05242647975683212
171353,327,41.0,497,0.029678748920559883
171806,328,40.0,453,0.07851996272802353
172265,329,31.0,459,0.0736808180809021
173326,330,80.0,1061,0.05682653933763504
173885,331,38.0,559,0.046112172305583954
174332,332,37.0,447,0.04549916088581085
174749,333,38.0,417,0.06157885864377022
175300,334,45.0,551,0.04346490651369095
175979,335,49.0,679,0.04225171357393265
176498,336,34.0,519,0.031110621988773346
177131,337,45.0,633,0.2302016019821167
177534,338,29.0,403,0.04876098036766052
177923,339,26.0,389,0.03578748553991318
178384,340,33.0,461,0.16460692882537842
179025,341,38.0,641,0.05215052515268326
179522,342,33.0,497,0.04722515493631363
180403,343,68.0,881,0.06300985813140869
180948,344,39.0,545,0.05320713669061661
181735,345,63.0,787,0.037311580032110214
182158,346,31.0,423,0.02650851011276245
182567,347,30.0,409,0.06544647365808487
183386,348,41.0,819,0.04810363054275513
183955,349,40.0,569,0.05750296637415886
184630,350,42.0,675,0.050340212881565094
185201,351,39.0,571,0.03753010556101799
185796,352,38.0,595,0.018644312396645546
186225,353,35.0,429,0.04922374337911606
186934,354,62.0,709,0.052735086530447006
187385,355,28.0,451,0.03805074840784073
188094,356,53.0,709,0.0376824252307415
188527,357,28.0,433,0.1021081954240799
189058,358,46.0,531,0.0361831896007061
189729,359,45.0,671,0.2212693989276886
190206,360,42.0,477,0.04645027220249176
190693,361,31.0,487,0.15785594284534454
191192,362,25.0,499,0.062161047011613846
191617,363,25.0,425,0.03006628528237343
192082,364,35.0,465,0.06854799389839172
192539,365,32.0,457,0.053527675569057465
193022,366,30.0,483,0.05411744862794876
193433,367,31.0,411,0.07719150185585022
194018,368,42.0,585,0.15016904473304749
194453,369,37.0,435,0.06424599885940552
194916,370,34.0,463,0.04009292274713516
195273,371,29.0,357,0.030321266502141953
195728,372,34.0,455,0.056271836161613464
196283,373,47.0,555,0.09613483399152756
196666,374,30.0,383,0.06589929759502411
197187,375,41.0,521,0.02821977436542511
197606,376,35.0,419,0.023973053321242332
198145,377,54.0,539,0.023647915571928024
198620,378,46.0,475,0.06998021900653839
199437,379,50.0,817,0.04406748712062836
199890,380,25.0,453,0.03151097893714905
200559,381,50.0,669,0.08871332556009293
200996,382,28.0,437,0.08525893092155457
201499,383,29.0,503,0.03360292315483093
201998,384,52.0,499,0.09938627481460571
202587,385,44.0,589,0.02847595140337944
203068,386,38.0,481,0.096434086561203
203675,387,40.0,607,0.033229514956474304
204080,388,23.0,405,0.10496779531240463
204449,389,29.0,369,0.20060792565345764
204966,390,37.0,517,0.025688890367746353
205429,391,31.0,463,0.04352930188179016
205782,392,20.0,353,0.04992247745394707
206541,393,60.0,759,0.037687644362449646
207088,394,39.0,547,0.04467706009745598
207679,395,58.0,591,0.029741495847702026
208176,396,43.0,497,0.09696193039417267
208879,397,48.0,703,0.07558853179216385
209618,398,70.0,739,0.06040341034531593
210171,399,58.0,553,0.06567227840423584
210568,400,33.0,397,0.04776935651898384
211031,401,33.0,463,0.03365055471658707
211542,402,47.0,511,0.04662063717842102
212161,403,53.0,619,0.05081535130739212
212574,404,37.0,413,0.02365538291633129
213005,405,36.0,431,0.22263631224632263
213682,406,64.0,677,0.02033732831478119
214335,407,44.0,653,0.06120777130126953
214658,408,18.0,323,0.12991109490394592
215177,409,27.0,519,0.06491729617118835
215644,410,35.0,467,0.19456514716148376
216049,411,39.0,405,0.10673025250434875
216456,412,34.0,407,0.051121942698955536
216791,413,24.0,335,0.12922923266887665
217372,414,42.0,581,0.13268662989139557
217851,415,33.0,479,0.11203541606664658
218570,416,44.0,719,0.08116191625595093
219347,417,70.0,777,0.2336922436952591
219908,418,41.0,561,0.08334708958864212
220421,419,45.0,513,0.09436041116714478
220868,420,36.0,447,0.033968448638916016
221305,421,32.0,437,0.061398521065711975
221994,422,63.0,689,0.04426645487546921
222555,423,58.0,561,0.04030836746096611
223250,424,51.0,695,0.03453642874956131
223977,425,56.0,727,0.05005629360675812
224568,426,41.0,591,0.05615580826997757
225109,427,42.0,541,0.07926183193922043
225732,428,38.0,623,0.023241430521011353
226155,429,31.0,423,0.04288402199745178
226908,430,56.0,753,0.14147602021694183
227543,431,35.0,635,0.05774054676294327
227996,432,47.0,453,0.26220405101776123
228535,433,39.0,539,0.18391045928001404
229304,434,56.0,769,0.2716308534145355
229887,435,57.0,583,0.03426927700638771
230364,436,44.0,477,0.1586136519908905
230873,437,43.0,509,0.20706307888031006
231228,438,30.0,355,0.08875381946563721
231819,439,57.0,591,0.0678434669971466
232316,440,38.0,497,0.07626331597566605
233119,441,69.0,803,0.057834692299366
233760,442,48.0,641,0.1796666383743286
234475,443,65.0,715,0.10287217795848846
234866,444,32.0,391,0.05452582985162735
235291,445,30.0,425,0.050406623631715775
235800,446,39.0,509,0.10688231140375137
236375,447,46.0,575,0.03606666997075081
236796,448,43.0,421,0.10130297392606735
237509,449,70.0,713,0.07344669848680496
