frame,episode,ep_return,ep_len,loss
515,1,16.0,515,
1018,2,22.0,503,
1489,3,22.0,471,
1860,4,18.0,371,
2419,5,34.0,559,
2924,6,30.0,505,
3441,7,21.0,517,
3938,8,22.0,497,
4461,9,20.0,523,
4828,10,14.0,367,
5603,11,35.0,775,0.036360401660203934
6130,12,28.0,527,0.011319555342197418
6621,13,24.0,491,0.030774887651205063
7250,14,32.0,629,0.014014419168233871
7673,15,15.0,423,0.043704256415367126
8202,16,30.0,529,0.018543127924203873
8603,17,15.0,401,0.01930077187716961
9026,18,23.0,423,0.014139422215521336
9555,19,26.0,529,0.026130380108952522
9944,20,9.0,389,0.020538875833153725
10457,21,16.0,513,0.029170949012041092
10938,22,19.0,481,0.026940708979964256
11713,23,36.0,775,0.052225641906261444
12260,24,19.0,547,0.025586966425180435
12733,25,18.0,473,0.01700732298195362
13160,26,21.0,427,0.013546731323003769
13595,27,20.0,435,0.026214487850666046
14070,28,26.0,475,0.022840209305286407
14505,29,22.0,435,0.01630978100001812
14906,30,17.0,401,0.01566430926322937
15389,31,30.0,483,0.002169625600799918
15840,32,21.0,451,0.012113461270928383
16383,33,28.0,543,0.031944356858730316
16836,34,26.0,453,0.009805413894355297
17363,35,20.0,527,0.014351146295666695
18058,36,35.0,695,0.02051866240799427
18573,37,28.0,515,0.01345837488770485
19056,38,25.0,483,0.016906926408410072
19597,39,31.0,541,0.031625084578990936
20116,40,25.0,519,0.020333614200353622
20661,41,31.0,545,0.011622244492173195
21072,42,16.0,411,0.005444656126201153
21565,43,25.0,493,0.019086292013525963
22106,44,28.0,541,0.031944360584020615
22727,45,31.0,621,0.0021485211327672005
23100,46,16.0,373,0.010578194633126259
23579,47,31.0,479,0.028032248839735985
24170,48,48.0,591,0.03315417468547821
24679,49,31.0,509,0.01552231889218092
25570,50,46.0,891,0.005169325973838568
26015,51,12.0,445,0.004000283777713776
26514,52,27.0,499,0.0257081501185894
27021,53,31.0,507,0.013727356679737568
27698,54,41.0,677,0.017711490392684937
28127,55,24.0,429,0.034737713634967804
28698,56,26.0,571,0.015500684268772602
29205,57,28.0,507,0.02734263241291046
29732,58,28.0,527,0.003391969483345747
30147,59,20.0,415,0.016045816242694855
30610,60,18.0,463,0.018157973885536194
31391,61,42.0,781,0.021593809127807617
31926,62,27.0,535,0.02153761312365532
32381,63,15.0,455,0.06277624517679214
32916,64,31.0,535,0.031967565417289734
33405,65,22.0,489,0.0026188369374722242
33888,66,20.0,483,0.020834187045693398
34305,67,25.0,417,0.013914912939071655
34780,68,25.0,475,0.0076654693111777306
35387,69,32.0,607,0.019820183515548706
35996,70,25.0,609,0.004864995367825031
36475,71,22.0,479,0.005951046012341976
37024,72,35.0,549,0.01538358349353075
37487,73,20.0,463,0.024471323937177658
37926,74,16.0,439,0.004643336404114962
38487,75,31.0,561,0.014954451471567154
38942,76,21.0,455,0.018655048683285713
39259,77,15.0,317,0.013152245432138443
39764,78,22.0,505,0.014001521281898022
40251,79,22.0,487,0.03348934277892113
40780,80,23.0,529,0.0319756343960762
41525,81,41.0,745,0.013691036030650139
42024,82,21.0,499,0.019055906683206558
42545,83,21.0,521,0.014227746054530144
43024,84,23.0,479,0.03740803897380829
43381,85,18.0,357,0.013405613601207733
43876,86,31.0,495,0.011184047907590866
44511,87,33.0,635,0.013561338186264038
44944,88,23.0,433,0.023728828877210617
45445,89,29.0,501,0.023909619078040123
45930,90,26.0,485,0.013149222359061241
46375,91,27.0,445,0.014083825051784515
46880,92,16.0,505,0.032343778759241104
47423,93,33.0,543,0.009292619302868843
47872,94,19.0,449,0.009488251060247421
48577,95,43.0,705,0.017476782202720642
49102,96,20.0,525,0.016680555418133736
49681,97,31.0,579,0.00394209660589695
50546,98,40.0,865,0.025321368128061295
51021,99,25.0,475,0.03187723830342293
51580,100,27.0,559,0.03328518941998482
52027,101,31.0,447,0.026345066726207733
52894,102,53.0,867,0.03158407658338547
53393,103,21.0,499,0.012757128104567528
53862,104,22.0,469,0.01934603601694107
54389,105,27.0,527,0.011441508308053017
54934,106,24.0,545,0.02335328608751297
55403,107,33.0,469,0.014003514312207699
56070,108,32.0,667,0.007744819391518831
56583,109,24.0,513,0.01391240581870079
57056,110,30.0,473,0.016923338174819946
57593,111,24.0,537,0.022223839536309242
58086,112,19.0,493,0.008006259799003601
58537,113,23.0,451,0.0465029776096344
59144,114,36.0,607,0.023150140419602394
59545,115,13.0,401,0.02139115147292614
60168,116,25.0,623,0.057692304253578186
60587,117,18.0,419,0.052266769111156464
61058,118,23.0,471,0.029514795169234276
61525,119,24.0,467,0.0198291577398777
61966,120,17.0,441,0.04619872570037842
62353,121,15.0,387,0.02129991538822651
62776,122,22.0,423,0.01814628764986992
63453,123,29.0,677,0.03655495494604111
63984,124,32.0,531,0.016186857596039772
64455,125,31.0,471,0.0533050112426281
65216,126,52.0,761,0.014868016354739666
65715,127,20.0,499,0.09012193977832794
66360,128,42.0,645,0.01379559375345707
66813,129,23.0,453,0.038507044315338135
67362,130,29.0,549,0.059932708740234375
67881,131,25.0,519,0.018652835860848427
68572,132,43.0,691,0.03395482525229454
69017,133,17.0,445,0.068198561668396
69504,134,24.0,487,0.01944640278816223
69951,135,14.0,447,0.05631594732403755
70506,136,41.0,555,0.0513228178024292
70999,137,30.0,493,0.10926880687475204
71590,138,39.0,591,0.06596154719591141
72281,139,38.0,691,0.0818701833486557
72682,140,27.0,401,0.03235393017530441
73115,141,27.0,433,0.021240608766674995
73566,142,29.0,451,0.02351229265332222
74001,143,20.0,435,0.02917187288403511
74814,144,44.0,813,0.06169605627655983
75295,145,21.0,481,0.021572135388851166
75828,146,26.0,533,0.0180441215634346
76279,147,28.0,451,0.022328533232212067
76750,148,22.0,471,0.03727271407842636
77175,149,18.0,425,0.025777574628591537
77654,150,30.0,479,0.04778799042105675
78039,151,26.0,385,0.017269454896450043
78556,152,18.0,517,0.05172745883464813
79063,153,24.0,507,0.009534848853945732
79630,154,46.0,567,0.0343887060880661
80323,155,46.0,693,0.08948738127946854
80832,156,24.0,509,0.031267620623111725
81333,157,29.0,501,0.04580109566450119
81852,158,30.0,519,0.05856357514858246
82347,159,20.0,495,0.024341337382793427
82780,160,37.0,433,0.03666120767593384
83333,161,30.0,553,0.03481971099972725
83854,162,26.0,521,0.04681948199868202
84349,163,27.0,495,0.023136813193559647
85030,164,39.0,681,0.033198513090610504
85759,165,46.0,729,0.03654840216040611
86152,166,20.0,393,0.05828408524394035
86577,167,29.0,425,0.05711044371128082
87250,168,32.0,673,0.04480808600783348
87701,169,24.0,451,0.027494210749864578
88132,170,25.0,431,0.03448503091931343
88803,171,45.0,671,0.019634893164038658
89438,172,31.0,635,0.04149695485830307
89945,173,32.0,507,0.023989226669073105
90350,174,24.0,405,0.021136745810508728
90865,175,33.0,515,0.09769786894321442
91378,176,29.0,513,0.03240183740854263
91737,177,20.0,359,0.03879266604781151
92272,178,25.0,535,0.12287713587284088
92789,179,32.0,517,0.03157111257314682
93258,180,25.0,469,0.013187609612941742
94011,181,38.0,753,0.026500370353460312
94478,182,23.0,467,0.050168946385383606
94919,183,22.0,441,0.028047148138284683
95490,184,31.0,571,0.03761700540781021
95987,185,23.0,497,0.20297276973724365
96542,186,31.0,555,0.04616084694862366
97033,187,30.0,491,0.03148861229419708
97564,188,37.0,531,0.01967398077249527
98193,189,33.0,629,0.04919501021504402
98598,190,17.0,405,0.03630545735359192
99095,191,25.0,497,0.10854460299015045
99484,192,23.0,389,0.1110115647315979
99983,193,25.0,499,0.025467155501246452
100542,194,28.0,559,0.028408851474523544
101063,195,30.0,521,0.038229331374168396
101396,196,14.0,333,0.1342518925666809
101937,197,31.0,541,0.0371440127491951
102408,198,27.0,471,0.12930172681808472
102953,199,29.0,545,0.10448036342859268
103378,200,14.0,425,0.08236881345510483
103989,201,39.0,611,0.03424851596355438
104882,202,47.0,893,0.04520951956510544
105359,203,27.0,477,0.02702263742685318
105800,204,15.0,441,0.061335839331150055
106245,205,23.0,445,0.02011772245168686
106890,206,48.0,645,0.029811233282089233
107311,207,25.0,421,0.15117147564888
107778,208,28.0,467,0.054818883538246155
108209,209,22.0,431,0.031872741878032684
108614,210,23.0,405,0.03714951127767563
109109,211,33.0,495,0.030811600387096405
109662,212,30.0,553,0.027048874646425247
110193,213,35.0,531,0.14349600672721863
110712,214,41.0,519,0.07206293195486069
111157,215,24.0,445,0.08964993804693222
111644,216,24.0,487,0.03255470097064972
111977,217,20.0,333,0.07659819722175598
112514,218,21.0,537,0.04647960886359215
112869,219,18.0,355,0.09559585154056549
113404,220,30.0,535,0.0359211340546608
113793,221,12.0,389,0.08042333275079727
114224,222,27.0,431,0.10658477246761322
114701,223,34.0,477,0.08261314034461975
115130,224,21.0,429,0.17323993146419525
115851,225,50.0,721,0.0854586809873581
116428,226,31.0,577,0.15155565738677979
116871,227,23.0,443,0.04041688144207001
117288,228,20.0,417,0.049315519630908966
117761,229,31.0,473,0.047549352049827576
118280,230,26.0,519,0.0404837392270565
118943,231,57.0,663,0.05039607733488083
119432,232,22.0,489,0.019132442772388458
119981,233,39.0,549,0.04846131429076195
120468,234,26.0,487,0.06292939931154251
120953,235,28.0,485,0.07581905275583267
121554,236,30.0,601,0.06263752281665802
122115,237,31.0,561,0.08877725899219513
122512,238,20.0,397,0.03516425937414169
123131,239,38.0,619,0.12073592096567154
123590,240,20.0,459,0.06652731448411942
124059,241,28.0,469,0.04319002479314804
124578,242,33.0,519,0.12135214358568192
125101,243,24.0,523,0.09659074246883392
125672,244,30.0,571,0.07328386604785919
126259,245,34.0,587,0.05492131784558296
126644,246,20.0,385,0.08019190281629562
127159,247,35.0,515,0.052354566752910614
127602,248,17.0,443,0.06296278536319733
128001,249,24.0,399,0.03233934938907623
128590,250,23.0,589,0.09877458214759827
129153,251,41.0,563,0.05356132239103317
129906,252,33.0,753,0.058306604623794556
130357,253,22.0,451,0.19723236560821533
130900,254,36.0,543,0.056373514235019684
131335,255,27.0,435,0.021649353206157684
131792,256,22.0,457,0.14552344381809235
132249,257,20.0,457,0.0625871866941452
132690,258,24.0,441,0.11492394655942917
133277,259,29.0,587,0.04964826628565788
133758,260,29.0,481,0.06176670640707016
134169,261,20.0,411,0.0633833110332489
134606,262,21.0,437,0.06465369462966919
135093,263,28.0,487,0.1289302259683609
135602,264,29.0,509,0.045638956129550934
136171,265,36.0,569,0.13729630410671234
136620,266,16.0,449,0.05408420413732529
137101,267,24.0,481,0.040791526436805725
137688,268,26.0,587,0.04037276655435562
138085,269,19.0,397,0.06162699684500694
138564,270,26.0,479,0.07615350186824799
139077,271,19.0,513,0.05282318964600563
139588,272,24.0,511,0.060132261365652084
140149,273,37.0,561,0.05989183112978935
140546,274,23.0,397,0.06395111978054047
140943,275,21.0,397,0.08060494065284729
141378,276,24.0,435,0.07103707641363144
142267,277,57.0,889,0.06871511787176132
142660,278,25.0,393,0.037220343947410583
143387,279,36.0,727,0.0732208713889122
144084,280,41.0,697,0.063624307513237
144541,281,22.0,457,0.10773409903049469
145362,282,41.0,821,0.17603406310081482
145755,283,20.0,393,0.034020502120256424
146242,284,25.0,487,0.1048150509595871
146817,285,35.0,575,0.030966157093644142
147374,286,28.0,557,0.125967338681221
147863,287,32.0,489,0.052848149091005325
148386,288,25.0,523,0.059472158551216125
148819,289,27.0,433,0.06175658851861954
149338,290,26.0,519,0.025738418102264404
149833,291,26.0,495,0.05025668442249298
150272,292,25.0,439,0.05376609042286873
150705,293,26.0,433,0.08683554828166962
151190,294,32.0,485,0.06340280175209045
151837,295,33.0,647,0.04744989424943924
152320,296,22.0,483,0.06699299067258835
153255,297,45.0,935,0.04909288138151169
153666,298,25.0,411,0.0420677624642849
154281,299,36.0,615,0.057242732495069504
154746,300,21.0,465,0.0837886705994606
155219,301,29.0,473,0.04491780698299408
155610,302,23.0,391,0.06634996831417084
156151,303,39.0,541,0.22520725429058075
156684,304,36.0,533,0.20712728798389435
157203,305,27.0,519,0.24301083385944366
157664,306,30.0,461,0.030185306444764137
158235,307,33.0,571,0.02004252001643181
158952,308,45.0,717,0.11388161033391953
159615,309,36.0,663,0.025541596114635468
160112,310,32.0,497,0.07043717056512833
160595,311,36.0,483,0.04085957631468773
161286,312,38.0,691,0.15223969519138336
161743,313,25.0,457,0.05490146204829216
162260,314,34.0,517,0.08871463686227798
162673,315,28.0,413,0.04101584851741791
163404,316,48.0,731,0.028776083141565323
163905,317,34.0,501,0.0589914433658123
164442,318,21.0,537,0.2365710586309433
164949,319,34.0,507,0.04107058793306351
165492,320,37.0,543,0.08443133533000946
166067,321,29.0,575,0.19094109535217285
166488,322,24.0,421,0.04134468361735344
167061,323,37.0,573,0.04692241549491882
167428,324,17.0,367,0.08168206363916397
167893,325,30.0,465,0.07669530063867569
168376,326,33.0,483,0.03663152828812599
169005,327,28.0,629,0.050874583423137665
169434,328,29.0,429,0.022518767043948174
169899,329,33.0,465,0.0467972606420517
170418,330,32.0,519,0.11982685327529907
170949,331,22.0,531,0.07725556194782257
171468,332,29.0,519,0.058238349854946136
171881,333,28.0,413,0.1661052703857422
172474,334,44.0,593,0.06913065910339355
172975,335,33.0,501,0.11333662271499634
173284,336,17.0,309,0.06290438771247864
173789,337,28.0,505,0.05910409241914749
174274,338,26.0,485,0.0974210649728775
174747,339,22.0,473,0.12298712879419327
175444,340,40.0,697,0.1041271835565567
176193,341,41.0,749,0.10255172848701477
176868,342,49.0,675,0.07020384073257446
177275,343,26.0,407,0.05438265949487686
177772,344,28.0,497,0.058342572301626205
178699,345,50.0,927,0.013179469853639603
179380,346,32.0,681,0.25454220175743103
179853,347,34.0,473,0.05868644267320633
180368,348,39.0,515,0.2566348910331726
180873,349,30.0,505,0.0444929301738739
181376,350,34.0,503,0.09428670257329941
182103,351,48.0,727,0.20306533575057983
182602,352,32.0,499,0.051082395017147064
183125,353,31.0,523,0.04828166961669922
183494,354,24.0,369,0.08302368223667145
183981,355,29.0,487,0.07807512581348419
184474,356,26.0,493,0.047536931931972504
184995,357,25.0,521,0.07377564162015915
185450,358,22.0,455,0.05042600631713867
186051,359,32.0,601,0.027098482474684715
186464,360,26.0,413,0.05297364294528961
186927,361,34.0,463,0.07772810757160187
187472,362,41.0,545,0.10866247862577438
188017,363,38.0,545,0.33057940006256104
188572,364,35.0,555,0.09413982927799225
189311,365,53.0,739,0.05124156177043915
189856,366,32.0,545,0.05240498483181
190387,367,23.0,531,0.10004407912492752
190974,368,38.0,587,0.20796175301074982
191485,369,20.0,511,0.09385878592729568
192014,370,29.0,529,0.07397633790969849
192567,371,31.0,553,0.0857628732919693
193018,372,28.0,451,0.06248551607131958
193363,373,23.0,345,0.06547695398330688
193896,374,36.0,533,0.0801471620798111
194367,375,25.0,471,0.08012167364358902
194884,376,31.0,517,0.12188713252544403
195355,377,27.0,471,0.09326444566249847
195714,378,23.0,359,0.1129617914557457
196335,379,53.0,621,0.05934122949838638
196824,380,35.0,489,0.11473624408245087
197275,381,23.0,451,0.05388879030942917
197766,382,27.0,491,0.0709678903222084
198201,383,27.0,435,0.10883862525224686
198582,384,16.0,381,0.08089205622673035
199263,385,41.0,681,0.11205169558525085
199812,386,32.0,549,0.03893660008907318
200259,387,30.0,447,0.17321103811264038
201202,388,56.0,943,0.09592339396476746
202009,389,50.0,807,0.07006103545427322
202430,390,27.0,421,0.12449821084737778
202815,391,25.0,385,0.06460467725992203
203410,392,31.0,595,0.24952150881290436
204267,393,46.0,857,0.09789077937602997
204720,394,27.0,453,0.12922163307666779
205211,395,34.0,491,0.08508370816707611
205796,396,36.0,585,0.07319988310337067
206333,397,35.0,537,0.27839577198028564
206738,398,27.0,405,0.050863564014434814
207219,399,36.0,481,0.08284901082515717
207728,400,29.0,509,0.04333348572254181
208471,401,45.0,743,0.10876297950744629
208960,402,29.0,489,0.06739942729473114
209545,403,35.0,585,0.08787113428115845
210058,404,42.0,513,0.30871957540512085
210491,405,33.0,433,0.20658397674560547
210940,406,20.0,449,0.052893757820129395
211583,407,50.0,643,0.24661442637443542
212114,408,41.0,531,0.030181197449564934
212541,409,16.0,427,0.19528216123580933
213070,410,38.0,529,0.08258993178606033
213761,411,50.0,691,0.19620513916015625
214588,412,61.0,827,0.0822606086730957
215327,413,51.0,739,0.08235001564025879
215726,414,31.0,399,0.05676012858748436
216205,415,24.0,479,0.10113268345594406
216648,416,30.0,443,0.05483632534742355
217369,417,56.0,721,0.06609001755714417
217782,418,24.0,413,0.07023654133081436
218169,419,32.0,387,0.1628440022468567
218618,420,31.0,449,0.0424451008439064
219259,421,43.0,641,0.0629291832447052
219726,422,38.0,467,0.04014251381158829
220441,423,45.0,715,0.08909504115581512
220942,424,38.0,501,0.09388807415962219
221685,425,42.0,743,0.05537198856472969
222328,426,40.0,643,0.16432830691337585
222985,427,42.0,657,0.06652391701936722
223514,428,42.0,529,0.09159664809703827
223965,429,31.0,451,0.06588834524154663
224714,430,42.0,749,0.10013332962989807
225107,431,21.0,393,0.27979907393455505
225624,432,28.0,517,0.08492589741945267
226169,433,33.0,545,0.02875073254108429
226668,434,33.0,499,0.12129498273134232
227119,435,24.0,451,0.09060618281364441
227720,436,34.0,601,0.03820700943470001
228141,437,26.0,421,0.0969204306602478
228676,438,33.0,535,0.05783159285783768
229223,439,33.0,547,0.09445290267467499
229696,440,33.0,473,0.2671140134334564
230169,441,28.0,473,0.12232711166143417
230592,442,16.0,423,0.11623109877109528
230965,443,22.0,373,0.05342952907085419
231706,444,46.0,741,0.06856831908226013
232329,445,47.0,623,0.08702783286571503
232876,446,35.0,547,0.04248155653476715
233303,447,24.0,427,0.14285452663898468
233794,448,30.0,491,0.08741681277751923
234147,449,23.0,353,0.0927300825715065
