frame,episode,ep_return,ep_len,loss
515,1,16.0,515,
1018,2,22.0,503,
1489,3,22.0,471,
1860,4,18.0,371,
2419,5,34.0,559,
2924,6,30.0,505,
3441,7,21.0,517,
3938,8,22.0,497,
4461,9,20.0,523,
4828,10,14.0,367,
5603,11,35.0,775,0.03741482272744179
6130,12,28.0,527,0.008025656454265118
6621,13,24.0,491,0.029455196112394333
7250,14,32.0,629,0.013644808903336525
7673,15,15.0,423,0.041562121361494064
8216,16,18.0,543,0.018891630694270134
8713,17,30.0,497,0.0772131085395813
9212,18,20.0,499,0.016775008291006088
9667,19,20.0,455,0.018910855054855347
10492,20,52.0,825,0.015802834182977676
10845,21,14.0,353,0.03382917866110802
11390,22,28.0,545,0.033919524401426315
11807,23,12.0,417,0.0015617638127878308
12302,24,29.0,495,0.048057764768600464
12885,25,24.0,583,0.022237446159124374
13366,26,19.0,481,0.01846659556031227
13795,27,23.0,429,0.03915178030729294
14268,28,24.0,473,0.002104351995512843
14849,29,23.0,581,0.01800655387341976
15334,30,20.0,485,0.03841521218419075
15833,31,23.0,499,0.006404929794371128
16288,32,20.0,455,0.03384064510464668
16843,33,24.0,555,0.021385084837675095
17258,34,17.0,415,0.021183937788009644
17691,35,17.0,433,0.03817237168550491
18236,36,30.0,545,0.010562200099229813
18687,37,24.0,451,0.033635228872299194
19458,38,45.0,771,0.04996293783187866
20041,39,38.0,583,0.03924786299467087
20658,40,31.0,617,0.014693771488964558
21157,41,20.0,499,0.025446593761444092
21702,42,24.0,545,0.015339124947786331
22549,43,47.0,847,0.027263853698968887
23084,44,20.0,535,0.03036293014883995
23501,45,14.0,417,0.003239462850615382
24030,46,19.0,529,0.011141069233417511
24453,47,18.0,423,0.007079810835421085
24878,48,18.0,425,0.029532555490732193
25431,49,31.0,553,0.002516878303140402
26040,50,33.0,609,0.015210087411105633
26541,51,23.0,501,0.023984815925359726
27198,52,41.0,657,0.005909781437367201
27731,53,20.0,533,0.030550681054592133
28112,54,16.0,381,0.004120007157325745
28621,55,32.0,509,0.020943529903888702
29170,56,32.0,549,0.02112988568842411
29579,57,26.0,409,0.007282322272658348
30352,58,54.0,773,0.016490401700139046
30879,59,30.0,527,0.012644587084650993
31346,60,25.0,467,0.016496704891324043
31855,61,29.0,509,0.03334285318851471
32334,62,18.0,479,0.019881391897797585
33203,63,54.0,869,0.014550965279340744
33710,64,21.0,507,0.03241535276174545
34303,65,28.0,593,0.029160786420106888
34820,66,29.0,517,0.018049806356430054
35243,67,26.0,423,0.008107196539640427
35800,68,32.0,557,0.01789647340774536
36271,69,23.0,471,0.026313021779060364
36788,70,22.0,517,0.007485183887183666
37391,71,26.0,603,0.01669720560312271
37826,72,29.0,435,0.03962784633040428
38279,73,18.0,453,0.009144863113760948
38676,74,16.0,397,0.024350428953766823
39153,75,30.0,477,0.019962407648563385
39578,76,24.0,425,0.022135436534881592
40113,77,25.0,535,0.04302727431058884
40614,78,35.0,501,0.011742539703845978
41007,79,14.0,393,0.02025507390499115
41484,80,26.0,477,0.017327502369880676
41989,81,27.0,505,0.0219253059476614
42442,82,31.0,453,0.031228553503751755
42937,83,25.0,495,0.02946556732058525
43452,84,23.0,515,0.007489282637834549
43801,85,14.0,349,0.006351557560265064
44200,86,11.0,399,0.01869216002523899
44733,87,22.0,533,0.01043449342250824
45186,88,21.0,453,0.0037289359606802464
45685,89,30.0,499,0.004248195327818394
46146,90,18.0,461,0.023690855130553246
46623,91,24.0,477,0.01695762202143669
47110,92,18.0,487,0.04311754181981087
47641,93,24.0,531,0.008243029937148094
48072,94,25.0,431,0.0061889044009149075
48773,95,40.0,701,0.009252440184354782
49264,96,23.0,491,0.007647778373211622
49699,97,20.0,435,0.005970705300569534
50262,98,35.0,563,0.0244813933968544
50831,99,35.0,569,0.017162848263978958
51264,100,21.0,433,0.03987262398004532
51929,101,31.0,665,0.01099934708327055
52374,102,23.0,445,0.009499761275947094
52859,103,24.0,485,0.016497749835252762
53302,104,33.0,443,0.009655664674937725
53753,105,25.0,451,0.006240873597562313
54174,106,18.0,421,0.035851769149303436
54611,107,22.0,437,0.017581280320882797
55070,108,28.0,459,0.01781328208744526
55545,109,33.0,475,0.019214678555727005
56002,110,24.0,457,0.021172497421503067
56639,111,31.0,637,0.02328166924417019
57148,112,16.0,509,0.00905428547412157
57633,113,32.0,485,0.016932545229792595
58086,114,21.0,453,0.010883474722504616
58639,115,28.0,553,0.0276852548122406
59192,116,29.0,553,0.027194086462259293
59611,117,20.0,419,0.021331273019313812
60108,118,27.0,497,0.01935013011097908
60619,119,34.0,511,0.023133330047130585
60974,120,14.0,355,0.07307686656713486
61665,121,31.0,691,0.015072878450155258
62188,122,27.0,523,0.027681780979037285
62661,123,25.0,473,0.025975991040468216
63340,124,38.0,679,0.018435630947351456
63773,125,18.0,433,0.021963676437735558
64294,126,34.0,521,0.013804386369884014
64779,127,23.0,485,0.02461450919508934
65310,128,32.0,531,0.02887929044663906
65775,129,23.0,465,0.013459308072924614
66380,130,39.0,605,0.035586319863796234
66861,131,21.0,481,0.02033589407801628
67376,132,27.0,515,0.04238677769899368
67881,133,28.0,505,0.008470052853226662
68376,134,31.0,495,0.025232620537281036
68839,135,28.0,463,0.028404980897903442
69306,136,26.0,467,0.06096470355987549
69787,137,22.0,481,0.013864411041140556
70250,138,25.0,463,0.06941584497690201
70795,139,21.0,545,0.01805824786424637
71318,140,34.0,523,0.0896807312965393
71737,141,27.0,419,0.017073146998882294
72178,142,22.0,441,0.011527402326464653
72713,143,28.0,535,0.019981389865279198
73142,144,17.0,429,0.00998605601489544
73633,145,30.0,491,0.02261923998594284
74108,146,32.0,475,0.06660404056310654
74603,147,25.0,495,0.01979678124189377
75048,148,30.0,445,0.02543945237994194
75581,149,26.0,533,0.02818254381418228
76282,150,42.0,701,0.011259577237069607
76771,151,23.0,489,0.014668503776192665
77308,152,32.0,537,0.035505861043930054
77767,153,26.0,459,0.005316643510013819
78140,154,12.0,373,0.023096144199371338
78491,155,17.0,351,0.02050142176449299
78926,156,22.0,435,0.037476565688848495
79433,157,17.0,507,0.04561905190348625
79952,158,30.0,519,0.011080317199230194
80467,159,31.0,515,0.10061465203762054
81002,160,27.0,535,0.04561600089073181
81543,161,26.0,541,0.031556978821754456
82008,162,13.0,465,0.029508398845791817
82445,163,20.0,437,0.1125568300485611
82776,164,14.0,331,0.03619427978992462
83207,165,16.0,431,0.11300430446863174
83668,166,23.0,461,0.031408458948135376
84131,167,24.0,463,0.029002664610743523
84600,168,22.0,469,0.04228038340806961
85077,169,24.0,477,0.016423452645540237
85464,170,20.0,387,0.01487075723707676
85965,171,29.0,501,0.09793219715356827
86286,172,10.0,321,0.02765720710158348
86727,173,15.0,441,0.02322481945157051
87222,174,29.0,495,0.03181339427828789
87667,175,22.0,445,0.033838771283626556
88240,176,31.0,573,0.047938503324985504
88697,177,25.0,457,0.011061523109674454
89106,178,23.0,409,0.03934761881828308
89671,179,31.0,565,0.07752294093370438
90508,180,54.0,837,0.05748315900564194
91049,181,31.0,541,0.03523506969213486
91520,182,24.0,471,0.016869649291038513
92545,183,82.0,1025,0.01955685019493103
93118,184,31.0,573,0.0445096530020237
93923,185,38.0,805,0.030977606773376465
94422,186,36.0,499,0.05368968844413757
94789,187,22.0,367,0.06222924217581749
95212,188,27.0,423,0.04053257405757904
95701,189,29.0,489,0.03723021596670151
96170,190,27.0,469,0.01859518513083458
96607,191,27.0,437,0.0491710901260376
97166,192,34.0,559,0.020902231335639954
97763,193,32.0,597,0.018552836030721664
98304,194,28.0,541,0.014069629833102226
98811,195,27.0,507,0.054641589522361755
99210,196,18.0,399,0.05971095710992813
99761,197,29.0,551,0.033915843814611435
100178,198,19.0,417,0.03386186435818672
100753,199,24.0,575,0.10223770141601562
101454,200,40.0,701,0.11048773676156998
101915,201,29.0,461,0.09523734450340271
102488,202,29.0,573,0.07036977261304855
103025,203,20.0,537,0.044810738414525986
103520,204,30.0,495,0.03584345430135727
103917,205,19.0,397,0.038551103323698044
104370,206,22.0,453,0.020193658769130707
104911,207,32.0,541,0.043607935309410095
105264,208,19.0,353,0.03171711415052414
105865,209,37.0,601,0.019247552379965782
106364,210,30.0,499,0.028098467737436295
106931,211,39.0,567,0.022037647664546967
107348,212,23.0,417,0.04016008973121643
107753,213,24.0,405,0.020614605396986008
108266,214,24.0,513,0.025716736912727356
108729,215,30.0,463,0.019895799458026886
109262,216,33.0,533,0.11400680243968964
109773,217,23.0,511,0.09948389232158661
110278,218,26.0,505,0.025839006528258324
110889,219,28.0,611,0.04541769623756409
111344,220,20.0,455,0.04718755558133125
111829,221,29.0,485,0.034159377217292786
112284,222,28.0,455,0.04702867567539215
112717,223,14.0,433,0.02440199814736843
113038,224,14.0,321,0.019771624356508255
113757,225,48.0,719,0.029993515461683273
114228,226,36.0,471,0.03431074321269989
114683,227,28.0,455,0.03888607770204544
115076,228,25.0,393,0.02770979516208172
115557,229,19.0,481,0.027572542428970337
115982,230,23.0,425,0.03178708255290985
116345,231,25.0,363,0.023883305490016937
116904,232,39.0,559,0.03433973342180252
117389,233,25.0,485,0.051562488079071045
117786,234,24.0,397,0.028997965157032013
118447,235,40.0,661,0.06188775599002838
119150,236,41.0,703,0.024499978870153427
119547,237,24.0,397,0.097537562251091
120140,238,32.0,593,0.05581771582365036
120687,239,31.0,547,0.09188798069953918
121152,240,24.0,465,0.0655689612030983
121545,241,21.0,393,0.08068544417619705
122244,242,39.0,699,0.07059058547019958
122747,243,31.0,503,0.03280429542064667
123214,244,34.0,467,0.02700570598244667
123921,245,58.0,707,0.05168231576681137
124480,246,27.0,559,0.12540575861930847
125099,247,42.0,619,0.021110687404870987
125616,248,33.0,517,0.04568670317530632
126167,249,31.0,551,0.0325869582593441
126590,250,26.0,423,0.02629779651761055
127229,251,39.0,639,0.029676038771867752
127920,252,38.0,691,0.01870255172252655
128327,253,23.0,407,0.022878780961036682
128830,254,26.0,503,0.020619696006178856
129307,255,30.0,477,0.019005514681339264
129768,256,41.0,461,0.16054952144622803
130277,257,31.0,509,0.12239181995391846
130738,258,20.0,461,0.03410988301038742
131213,259,21.0,475,0.04575038328766823
131802,260,39.0,589,0.05845636874437332
132225,261,25.0,423,0.02722150832414627
132922,262,49.0,697,0.028709396719932556
133611,263,43.0,689,0.1594230681657791
134086,264,24.0,475,0.023474253714084625
134597,265,43.0,511,0.04267124831676483
135254,266,41.0,657,0.03131252899765968
135813,267,30.0,559,0.038893647491931915
136206,268,21.0,393,0.030752161517739296
136661,269,24.0,455,0.04036330804228783
137116,270,25.0,455,0.04627247154712677
137497,271,20.0,381,0.04256165400147438
138142,272,50.0,645,0.045500367879867554
138693,273,34.0,551,0.018315009772777557
139084,274,27.0,391,0.17337313294410706
139471,275,20.0,387,0.11154331266880035
140036,276,44.0,565,0.0692887082695961
140729,277,48.0,693,0.12305115163326263
141136,278,26.0,407,0.05299285054206848
141805,279,37.0,669,0.0526755265891552
142250,280,26.0,445,0.016176246106624603
142751,281,23.0,501,0.0922960489988327
143208,282,25.0,457,0.03805829957127571
143923,283,44.0,715,0.028405163437128067
144458,284,27.0,535,0.03473217785358429
145247,285,48.0,789,0.010473854839801788
145728,286,35.0,481,0.02383093722164631
146241,287,28.0,513,0.04853407293558121
146856,288,32.0,615,0.06657232344150543
147281,289,34.0,425,0.018658757209777832
147846,290,36.0,565,0.04865959286689758
148419,291,25.0,573,0.07173031568527222
148900,292,24.0,481,0.04011397063732147
149357,293,24.0,457,0.06750591844320297
150078,294,35.0,721,0.07474716752767563
150545,295,31.0,467,0.023404482752084732
150984,296,30.0,439,0.13225440680980682
151393,297,31.0,409,0.0418202169239521
151924,298,34.0,531,0.2274339199066162
152291,299,18.0,367,0.053323108702898026
152800,300,27.0,509,0.020522253587841988
153285,301,35.0,485,0.09811516851186752
153778,302,23.0,493,0.03849684074521065
154275,303,33.0,497,0.06812262535095215
154752,304,33.0,477,0.028940318152308464
155301,305,34.0,549,0.03372298181056976
155646,306,22.0,345,0.03135880082845688
156159,307,32.0,513,0.01823185384273529
156808,308,39.0,649,0.02272217348217964
157319,309,39.0,511,0.020447660237550735
157856,310,33.0,537,0.04587912932038307
158389,311,31.0,533,0.054996512830257416
159158,312,49.0,769,0.05723913013935089
159533,313,15.0,375,0.04241878539323807
160050,314,25.0,517,0.10529331862926483
160609,315,32.0,559,0.03680461645126343
161136,316,31.0,527,0.025930386036634445
161779,317,35.0,643,0.050073444843292236
162300,318,25.0,521,0.030080744996666908
162759,319,27.0,459,0.037625472992658615
163278,320,41.0,519,0.03239844739437103
163845,321,47.0,567,0.04369504004716873
164314,322,35.0,469,0.048985909670591354
164997,323,30.0,683,0.03621155768632889
165350,324,23.0,353,0.023954128846526146
165763,325,18.0,413,0.04234772548079491
166314,326,22.0,551,0.02460147812962532
166987,327,29.0,673,0.030661992728710175
167442,328,32.0,455,0.04932344704866409
167907,329,23.0,465,0.17337030172348022
168582,330,43.0,675,0.026637321338057518
169367,331,33.0,785,0.03949439525604248
169866,332,38.0,499,0.07319521903991699
170353,333,28.0,487,0.10833662003278732
171080,334,48.0,727,0.18661202490329742
171485,335,21.0,405,0.052372004836797714
172098,336,34.0,613,0.03716770559549332
172547,337,28.0,449,0.05329712852835655
173060,338,31.0,513,0.04290865361690521
173475,339,26.0,415,0.03296452388167381
174256,340,44.0,781,0.04936186969280243
174781,341,30.0,525,0.05228249356150627
175292,342,22.0,511,0.10909099876880646
175739,343,30.0,447,0.16819968819618225
176242,344,36.0,503,0.038076870143413544
176981,345,44.0,739,0.033603452146053314
177500,346,35.0,519,0.040819935500621796
178095,347,41.0,595,0.06786665320396423
178552,348,26.0,457,0.08568673580884933
178957,349,22.0,405,0.031369663774967194
179444,350,34.0,487,0.03976050019264221
179973,351,34.0,529,0.020009171217679977
180476,352,34.0,503,0.06706379354000092
181055,353,42.0,579,0.2192980796098709
181502,354,24.0,447,0.08378654718399048
182031,355,34.0,529,0.2137870490550995
182742,356,63.0,711,0.06514772772789001
183325,357,35.0,583,0.04498476907610893
183916,358,38.0,591,0.03093254193663597
184405,359,33.0,489,0.03764231503009796
184926,360,41.0,521,0.05678878724575043
185403,361,28.0,477,0.03496422618627548
186092,362,43.0,689,0.026060307398438454
186819,363,48.0,727,0.05619451403617859
187684,364,55.0,865,0.04398420825600624
188173,365,28.0,489,0.08145379275083542
188714,366,25.0,541,0.10499072819948196
189221,367,44.0,507,0.053580570966005325
189614,368,23.0,393,0.15639930963516235
190437,369,64.0,823,0.09901697188615799
190894,370,30.0,457,0.05174558237195015
191405,371,32.0,511,0.10123175382614136
192084,372,39.0,679,0.057771578431129456
192579,373,28.0,495,0.05913110077381134
193050,374,34.0,471,0.3021177351474762
193567,375,31.0,517,0.05175567790865898
193984,376,25.0,417,0.02494106814265251
194505,377,34.0,521,0.04864414036273956
194978,378,25.0,473,0.10980673134326935
195665,379,42.0,687,0.22914531826972961
196250,380,37.0,585,0.020621895790100098
196801,381,33.0,551,0.10901664197444916
197304,382,30.0,503,0.027796903625130653
197721,383,22.0,417,0.02503538504242897
198378,384,36.0,657,0.09709082543849945
198857,385,28.0,479,0.03814339637756348
199368,386,36.0,511,0.03691655397415161
199831,387,30.0,463,0.03237815946340561
200516,388,44.0,685,0.08882907032966614
200995,389,26.0,479,0.05195152387022972
201540,390,32.0,545,0.032909542322158813
202095,391,30.0,555,0.05825747549533844
202582,392,28.0,487,0.0853353813290596
202975,393,22.0,393,0.056100234389305115
203444,394,31.0,469,0.18729987740516663
203953,395,49.0,509,0.045741740614175797
204406,396,27.0,453,0.059916846454143524
205057,397,31.0,651,0.03594120964407921
205496,398,21.0,439,0.12799735367298126
206113,399,58.0,617,0.10008497536182404
206758,400,33.0,645,0.06302560120820999
207291,401,34.0,533,0.0922507718205452
208058,402,43.0,767,0.0832139253616333
208515,403,19.0,457,0.03801795467734337
208988,404,33.0,473,0.03063211962580681
209481,405,23.0,493,0.1006513386964798
209996,406,33.0,515,0.04665515571832657
210427,407,28.0,431,0.06782349944114685
210982,408,30.0,555,0.06654687970876694
211491,409,33.0,509,0.0871616080403328
211982,410,38.0,491,0.06562019884586334
212571,411,35.0,589,0.02005310170352459
213020,412,23.0,449,0.08085539191961288
213619,413,55.0,599,0.052026525139808655
214032,414,24.0,413,0.04695411026477814
214691,415,46.0,659,0.031028326600790024
215222,416,43.0,531,0.1055314838886261
215631,417,16.0,409,0.07519544661045074
216048,418,25.0,417,0.05698937550187111
216565,419,33.0,517,0.059622399508953094
217292,420,50.0,727,0.19302362203598022
218227,421,60.0,935,0.05826199799776077
218880,422,46.0,653,0.036464884877204895
219313,423,32.0,433,0.022478125989437103
219896,424,33.0,583,0.03295281529426575
220575,425,55.0,679,0.05508091300725937
220964,426,19.0,389,0.04953976348042488
221513,427,43.0,549,0.10149496793746948
222094,428,44.0,581,0.06029929965734482
222555,429,25.0,461,0.1700514554977417
223164,430,35.0,609,0.19969168305397034
223613,431,35.0,449,0.31673023104667664
224262,432,44.0,649,0.029775597155094147
224881,433,36.0,619,0.06617480516433716
225568,434,40.0,687,0.1003413051366806
226027,435,32.0,459,0.09133059531450272
226482,436,34.0,455,0.03609131649136543
227421,437,57.0,939,0.0565054789185524
227998,438,32.0,577,0.04362180083990097
228651,439,38.0,653,0.04310329258441925
229136,440,24.0,485,0.09789231419563293
229581,441,38.0,445,0.036668695509433746
230176,442,34.0,595,0.09558804333209991
230715,443,40.0,539,0.07960259169340134
231230,444,25.0,515,0.07284338772296906
231789,445,39.0,559,0.05968182906508446
232466,446,61.0,677,0.090707927942276
232921,447,29.0,455,0.17151053249835968
233478,448,41.0,557,0.43203428387641907
234043,449,41.0,565,0.042547449469566345
