frame,episode,ep_return,ep_len,loss
515,1,16.0,515,
1018,2,22.0,503,
1489,3,22.0,471,
1860,4,18.0,371,
2419,5,34.0,559,
2924,6,30.0,505,
3441,7,21.0,517,
3938,8,22.0,497,
4461,9,20.0,523,
4828,10,14.0,367,
5327,11,27.0,499,0.01881353370845318
5832,12,25.0,505,0.005016774404793978
6237,13,16.0,405,0.0027545257471501827
6790,14,32.0,553,0.0018382715061306953
7297,15,21.0,507,0.003240254009142518
7742,16,28.0,445,0.014434604905545712
8199,17,24.0,457,0.020767871290445328
8662,18,18.0,463,0.014440546743571758
9177,19,23.0,515,0.031328149139881134
9680,20,26.0,503,0.013671522960066795
10351,21,35.0,671,0.003357081674039364
10916,22,28.0,565,0.014921645633876324
11309,23,18.0,393,0.009588518179953098
11930,24,26.0,621,0.030065225437283516
12569,25,40.0,639,0.016940254718065262
13038,26,19.0,469,0.015049262903630733
13553,27,23.0,515,0.012776870280504227
13918,28,16.0,365,0.039866454899311066
14339,29,21.0,421,0.019495662301778793
14812,30,19.0,473,0.032329536974430084
15311,31,21.0,499,0.023187648504972458
15796,32,29.0,485,0.012571355327963829
16251,33,13.0,455,0.017150823026895523
16714,34,15.0,463,0.015627631917595863
17107,35,19.0,393,0.014385310932993889
17680,36,31.0,573,0.015709813684225082
18049,37,18.0,369,0.0021162270568311214
18604,38,35.0,555,0.007176263723522425
18989,39,17.0,385,0.01794077642261982
19518,40,21.0,529,0.01305592805147171
19987,41,25.0,469,0.04148099943995476
20432,42,24.0,445,0.05251513794064522
20949,43,18.0,517,0.0047049750573933125
21442,44,30.0,493,0.016013508662581444
21873,45,25.0,431,0.03338059410452843
22376,46,19.0,503,0.022514985874295235
23083,47,37.0,707,0.041163891553878784
23626,48,37.0,543,0.004344101995229721
24063,49,25.0,437,0.012632020749151707
24590,50,20.0,527,0.017572753131389618
25089,51,25.0,499,0.006442186422646046
25536,52,20.0,447,0.03454648703336716
25973,53,22.0,437,0.016651729121804237
26486,54,21.0,513,0.035816922783851624
26977,55,22.0,491,0.00959214847534895
27490,56,34.0,513,0.005692228674888611
27875,57,15.0,385,0.04406216740608215
28208,58,19.0,333,0.00467914342880249
28769,59,38.0,561,0.005105319432914257
29228,60,26.0,459,0.01201268658041954
29717,61,22.0,489,0.03386242687702179
30124,62,18.0,407,0.012445895001292229
30609,63,24.0,485,0.02334185317158699
31174,64,31.0,565,0.03836854547262192
31625,65,24.0,451,0.005664832424372435
32098,66,24.0,473,0.011946539394557476
32981,67,55.0,883,0.014903971925377846
33424,68,16.0,443,0.02187405712902546
33951,69,35.0,527,0.020254796370863914
34438,70,19.0,487,0.003767227055504918
35105,71,42.0,667,0.02210850641131401
35560,72,23.0,455,0.013491189107298851
35895,73,8.0,335,0.004065314307808876
36380,74,20.0,485,0.012608351185917854
36851,75,25.0,471,0.0057160332798957825
37340,76,29.0,489,0.009389675222337246
37771,77,22.0,431,0.01046682521700859
38228,78,21.0,457,0.018929511308670044
38657,79,30.0,429,0.020079366862773895
39006,80,21.0,349,0.006154232658445835
39469,81,25.0,463,0.00834902748465538
39944,82,24.0,475,0.005327338352799416
40517,83,25.0,573,0.06644946336746216
41262,84,40.0,745,0.030962668359279633
41803,85,30.0,541,0.006605261005461216
42284,86,21.0,481,0.03740309923887253
42747,87,21.0,463,0.03730234503746033
43174,88,26.0,427,0.027017798274755478
43649,89,23.0,475,0.03171778470277786
44160,90,28.0,511,0.006128787528723478
44679,91,28.0,519,0.014890018850564957
45152,92,25.0,473,0.029042700305581093
45689,93,23.0,537,0.008990567177534103
46150,94,23.0,461,0.024294985458254814
46603,95,23.0,453,0.016313182190060616
47154,96,33.0,551,0.014461873099207878
47673,97,17.0,519,0.022448290139436722
48206,98,25.0,533,0.004628153517842293
48705,99,19.0,499,0.011548028327524662
49194,100,21.0,489,0.016915226355195045
49679,101,29.0,485,0.018891241401433945
50092,102,15.0,413,0.025463368743658066
50503,103,26.0,411,0.04456569626927376
50990,104,22.0,487,0.006099066697061062
51591,105,33.0,601,0.008689286187291145
52108,106,30.0,517,0.045787371695041656
52773,107,40.0,665,0.01724337600171566
53426,108,24.0,653,0.007144157774746418
53875,109,21.0,449,0.011293917894363403
54374,110,27.0,499,0.01287836953997612
54897,111,33.0,523,0.013133062981069088
55428,112,31.0,531,0.020879410207271576
56177,113,33.0,749,0.007285289466381073
56562,114,22.0,385,0.008649533614516258
57039,115,28.0,477,0.004587655887007713
57548,116,16.0,509,0.009978042915463448
58015,117,30.0,467,0.013952381908893585
58416,118,25.0,401,0.013580240309238434
58939,119,29.0,523,0.011607944034039974
59382,120,17.0,443,0.007348162122070789
59899,121,19.0,517,0.010043717920780182
60454,122,31.0,555,0.035823676735162735
60923,123,24.0,469,0.021260056644678116
61546,124,31.0,623,0.011471716687083244
62239,125,44.0,693,0.020724434405565262
62680,126,21.0,441,0.012582964263856411
63143,127,25.0,463,0.024801291525363922
63704,128,28.0,561,0.013161856681108475
64449,129,34.0,745,0.020666638389229774
65038,130,36.0,589,0.018658705055713654
65375,131,22.0,337,0.0732712671160698
65990,132,40.0,615,0.012513846158981323
66417,133,32.0,427,0.012387494556605816
66922,134,27.0,505,0.022336168214678764
67339,135,17.0,417,0.018610011786222458
67814,136,25.0,475,0.006572899408638477
68173,137,22.0,359,0.01060025580227375
68682,138,19.0,509,0.00993519276380539
69125,139,25.0,443,0.019339390099048615
69676,140,30.0,551,0.019878147169947624
70135,141,19.0,459,0.03962299972772598
70622,142,17.0,487,0.0440603643655777
71061,143,30.0,439,0.027619339525699615
71438,144,25.0,377,0.02228180505335331
71809,145,22.0,371,0.01397184282541275
72328,146,27.0,519,0.011324409395456314
72847,147,29.0,519,0.0234996248036623
73484,148,36.0,637,0.013158812187612057
74259,149,61.0,775,0.015131853520870209
74838,150,31.0,579,0.013917190954089165
75439,151,33.0,601,0.019984422251582146
76202,152,53.0,763,0.021264400333166122
76787,153,34.0,585,0.12724414467811584
77364,154,35.0,577,0.022423094138503075
77907,155,26.0,543,0.012220775708556175
78288,156,25.0,381,0.007133763283491135
78703,157,18.0,415,0.031283900141716
79262,158,26.0,559,0.011901719495654106
79791,159,28.0,529,0.042726386338472366
80206,160,17.0,415,0.023424891754984856
80671,161,29.0,465,0.0787588581442833
81074,162,19.0,403,0.018619585782289505
81615,163,25.0,541,0.05731070041656494
82174,164,27.0,559,0.026676315814256668
82775,165,39.0,601,0.01169307716190815
83268,166,32.0,493,0.04129740223288536
83691,167,27.0,423,0.011659806594252586
84196,168,18.0,505,0.034509941935539246
84635,169,14.0,439,0.02812144160270691
85174,170,28.0,539,0.01386340893805027
85659,171,31.0,485,0.02487925812602043
86068,172,28.0,409,0.009754849597811699
86839,173,42.0,771,0.02096397802233696
87324,174,27.0,485,0.017841141670942307
87883,175,32.0,559,0.054660968482494354
88432,176,31.0,549,0.021625196561217308
88875,177,26.0,443,0.03423425555229187
89300,178,21.0,425,0.032593756914138794
89733,179,20.0,433,0.029534269124269485
90136,180,11.0,403,0.04390023648738861
90641,181,33.0,505,0.03336307778954506
91088,182,24.0,447,0.07727265357971191
91579,183,31.0,491,0.027897272258996964
91864,184,11.0,285,0.012252832762897015
92395,185,27.0,531,0.03675409033894539
92848,186,25.0,453,0.0472092367708683
93329,187,21.0,481,0.04829132556915283
93800,188,32.0,471,0.01710280403494835
94441,189,35.0,641,0.01177797932177782
94972,190,36.0,531,0.01851765066385269
95571,191,37.0,599,0.07678677886724472
95990,192,24.0,419,0.09648649394512177
96489,193,24.0,499,0.01669342815876007
96898,194,16.0,409,0.024749737232923508
97481,195,32.0,583,0.053940050303936005
97992,196,28.0,511,0.03193929046392441
98553,197,39.0,561,0.019229095429182053
99044,198,32.0,491,0.020238634198904037
99559,199,29.0,515,0.011900058016180992
100012,200,35.0,453,0.1234671026468277
100375,201,20.0,363,0.01960553601384163
100928,202,26.0,553,0.018863508477807045
101407,203,20.0,479,0.023888874799013138
102000,204,38.0,593,0.024995947256684303
102459,205,28.0,459,0.036780208349227905
102976,206,28.0,517,0.04331526905298233
103309,207,7.0,333,0.0351128950715065
104012,208,44.0,703,0.01467301044613123
104413,209,22.0,401,0.03891099989414215
104964,210,30.0,551,0.0309648048132658
105427,211,17.0,463,0.033299561589956284
105900,212,26.0,473,0.014075256884098053
106301,213,16.0,401,0.01714812032878399
106758,214,29.0,457,0.023045722395181656
107197,215,27.0,439,0.006273197941482067
107678,216,25.0,481,0.017485778778791428
108191,217,27.0,513,0.018831618130207062
108684,218,31.0,493,0.01652221754193306
109129,219,15.0,445,0.03531019017100334
109596,220,33.0,467,0.02796487882733345
110141,221,32.0,545,0.06646836549043655
110636,222,32.0,495,0.04220282658934593
111041,223,25.0,405,0.06532911211252213
111522,224,28.0,481,0.03341297805309296
112177,225,40.0,655,0.10385165363550186
112702,226,37.0,525,0.0314701572060585
113043,227,19.0,341,0.057913172990083694
113518,228,32.0,475,0.02540886029601097
114227,229,29.0,709,0.04778977856040001
114870,230,56.0,643,0.011992739513516426
115403,231,33.0,533,0.02980305254459381
116192,232,41.0,789,0.04054462909698486
116717,233,26.0,525,0.028074977919459343
117018,234,12.0,301,0.016724098473787308
117471,235,32.0,453,0.0755540281534195
117908,236,19.0,437,0.017346536740660667
118499,237,31.0,591,0.0218003261834383
118996,238,25.0,497,0.016556210815906525
119525,239,38.0,529,0.015657803043723106
120022,240,25.0,497,0.11627174913883209
120413,241,16.0,391,0.02216961979866028
120840,242,19.0,427,0.040429096668958664
121395,243,42.0,555,0.022176645696163177
121916,244,31.0,521,0.03619762137532234
122515,245,37.0,599,0.04987238347530365
123078,246,23.0,563,0.03500543534755707
123461,247,25.0,383,0.051832765340805054
124102,248,38.0,641,0.05149727314710617
124723,249,46.0,621,0.029424309730529785
125374,250,42.0,651,0.04305237904191017
125715,251,17.0,341,0.027789246290922165
126236,252,28.0,521,0.07963500171899796
126693,253,21.0,457,0.05412255972623825
127162,254,24.0,469,0.016135403886437416
127619,255,27.0,457,0.01083650253713131
128090,256,27.0,471,0.03993471339344978
128761,257,45.0,671,0.043817467987537384
129242,258,20.0,481,0.02165190316736698
129865,259,26.0,623,0.04045230895280838
130310,260,15.0,445,0.05530213937163353
130793,261,24.0,483,0.019969653338193893
131256,262,26.0,463,0.01346093975007534
131663,263,19.0,407,0.04619041830301285
132100,264,24.0,437,0.01582338660955429
132559,265,24.0,459,0.13935351371765137
133122,266,31.0,563,0.04415695741772652
133641,267,30.0,519,0.10218105465173721
134190,268,27.0,549,0.048101965337991714
134653,269,28.0,463,0.027155768126249313
135068,270,24.0,415,0.024583738297224045
135569,271,23.0,501,0.02281799539923668
136084,272,31.0,515,0.033415116369724274
136561,273,27.0,477,0.03663557022809982
137086,274,29.0,525,0.03664480894804001
137755,275,39.0,669,0.023583214730024338
138614,276,63.0,859,0.04895170405507088
139119,277,27.0,505,0.021305127069354057
139610,278,25.0,491,0.02786225825548172
140191,279,34.0,581,0.04423588514328003
140694,280,26.0,503,0.038526710122823715
141239,281,31.0,545,0.025764966383576393
142294,282,71.0,1055,0.056120045483112335
142765,283,27.0,471,0.05007345229387283
143254,284,26.0,489,0.058801405131816864
143953,285,50.0,699,0.05488191172480583
144646,286,46.0,693,0.030605368316173553
145159,287,32.0,513,0.08100807666778564
145630,288,29.0,471,0.020710134878754616
146023,289,27.0,393,0.026783665642142296
146416,290,23.0,393,0.0248061902821064
146911,291,27.0,495,0.022810567170381546
147374,292,32.0,463,0.051234327256679535
148003,293,40.0,629,0.049000490456819534
148600,294,33.0,597,0.028796397149562836
148967,295,22.0,367,0.03391679376363754
149486,296,37.0,519,0.043815918266773224
150049,297,30.0,563,0.03432076796889305
151258,298,78.0,1209,0.0797402411699295
151733,299,35.0,475,0.06479950249195099
152248,300,24.0,515,0.05984517186880112
152783,301,31.0,535,0.12728580832481384
153368,302,32.0,585,0.04604630917310715
153917,303,22.0,549,0.04976412653923035
154376,304,28.0,459,0.026598535478115082
155029,305,31.0,653,0.017010081559419632
155406,306,17.0,377,0.09062975645065308
155783,307,16.0,377,0.05901719629764557
156238,308,32.0,455,0.027676302939653397
156769,309,31.0,531,0.02586066722869873
157168,310,16.0,399,0.025042634457349777
157913,311,61.0,745,0.023194830864667892
158390,312,32.0,477,0.026049017906188965
158963,313,43.0,573,0.07974851131439209
159430,314,25.0,467,0.017350472509860992
159901,315,28.0,471,0.016329318284988403
160410,316,22.0,509,0.03608980029821396
160863,317,28.0,453,0.03172050043940544
161800,318,57.0,937,0.031941864639520645
162203,319,29.0,403,0.03981871157884598
162924,320,38.0,721,0.022406883537769318
163323,321,33.0,399,0.04315858706831932
163758,322,36.0,435,0.0723094642162323
164303,323,32.0,545,0.06100171059370041
164734,324,18.0,431,0.028271421790122986
165309,325,33.0,575,0.0557246208190918
165854,326,32.0,545,0.02372211590409279
166289,327,21.0,435,0.03192459046840668
166776,328,33.0,487,0.028403878211975098
167173,329,26.0,397,0.03230282664299011
167714,330,29.0,541,0.025976158678531647
168117,331,30.0,403,0.054278887808322906
168656,332,30.0,539,0.028387470170855522
169629,333,62.0,973,0.02312714233994484
170194,334,31.0,565,0.03190579265356064
170751,335,34.0,557,0.033764805644750595
171394,336,54.0,643,0.017468539997935295
171887,337,29.0,493,0.1402023285627365
172596,338,48.0,709,0.06826519221067429
172979,339,23.0,383,0.15565899014472961
173518,340,36.0,539,0.04703442007303238
173927,341,25.0,409,0.03739827498793602
174428,342,39.0,501,0.013506563380360603
174769,343,23.0,341,0.041380614042282104
175200,344,30.0,431,0.02566538006067276
175759,345,27.0,559,0.03530053794384003
176198,346,39.0,439,0.13873255252838135
176829,347,48.0,631,0.03930418938398361
177308,348,22.0,479,0.03128647804260254
177845,349,37.0,537,0.05867563188076019
178362,350,47.0,517,0.029346073046326637
178995,351,49.0,633,0.039440739899873734
179414,352,32.0,419,0.021326998248696327
179939,353,36.0,525,0.0462716780602932
180474,354,38.0,535,0.04185517504811287
180919,355,30.0,445,0.029417332261800766
181386,356,25.0,467,0.032600536942481995
181781,357,20.0,395,0.035247597843408585
182246,358,32.0,465,0.03827286884188652
182611,359,18.0,365,0.029651205986738205
183430,360,58.0,819,0.02995484322309494
184083,361,40.0,653,0.057446494698524475
184710,362,48.0,627,0.02778499945998192
185415,363,49.0,705,0.025180645287036896
185848,364,29.0,433,0.04254449903964996
186485,365,50.0,637,0.056329160928726196
186940,366,30.0,455,0.14671236276626587
187351,367,14.0,411,0.032377857714891434
188058,368,43.0,707,0.04947121441364288
188869,369,56.0,811,0.025434955954551697
189442,370,36.0,573,0.04166688024997711
189941,371,31.0,499,0.040802717208862305
190372,372,23.0,431,0.03589200600981712
191195,373,53.0,823,0.0420854277908802
191770,374,34.0,575,0.024072464555501938
192309,375,29.0,539,0.05400465428829193
192974,376,51.0,665,0.052825842052698135
193477,377,29.0,503,0.05570637807250023
194112,378,45.0,635,0.05725764483213425
194517,379,18.0,405,0.038292646408081055
195020,380,31.0,503,0.12727156281471252
195611,381,47.0,591,0.03439336270093918
196050,382,29.0,439,0.03974577784538269
196555,383,26.0,505,0.05680461227893829
197290,384,46.0,735,0.164810910820961
197797,385,29.0,507,0.014825480990111828
198166,386,20.0,369,0.028977839276194572
198639,387,37.0,473,0.053732842206954956
199350,388,52.0,711,0.030311910435557365
199997,389,38.0,647,0.02583708055317402
200406,390,26.0,409,0.036600057035684586
200879,391,30.0,473,0.039294738322496414
201428,392,32.0,549,0.028542522341012955
202001,393,32.0,573,0.021234195679426193
202572,394,33.0,571,0.04072701930999756
202991,395,18.0,419,0.02986827865242958
203560,396,27.0,569,0.028561126440763474
204129,397,31.0,569,0.041834622621536255
204684,398,27.0,555,0.04712412506341934
205129,399,30.0,445,0.018709076568484306
205726,400,45.0,597,0.04063298925757408
206321,401,46.0,595,0.03076987713575363
206852,402,36.0,531,0.054695338010787964
207311,403,33.0,459,0.06460852175951004
207746,404,23.0,435,0.04677162691950798
208203,405,24.0,457,0.04776372015476227
208878,406,41.0,675,0.022153422236442566
209381,407,25.0,503,0.05526098608970642
210122,408,36.0,741,0.11596039682626724
210793,409,45.0,671,0.021372776478528976
211336,410,29.0,543,0.03409560024738312
212037,411,39.0,701,0.028189614415168762
212476,412,31.0,439,0.0321502685546875
212961,413,30.0,485,0.11272349953651428
213358,414,14.0,397,0.022191159427165985
213813,415,27.0,455,0.02352229505777359
214518,416,46.0,705,0.1704736202955246
215007,417,29.0,489,0.16089247167110443
215394,418,26.0,387,0.04343973845243454
216075,419,39.0,681,0.07345690578222275
216620,420,46.0,545,0.061714790761470795
217087,421,44.0,467,0.03381511569023132
217454,422,22.0,367,0.03451269119977951
218111,423,48.0,657,0.1065504252910614
218778,424,54.0,667,0.03521937131881714
219189,425,26.0,411,0.1734769493341446
219782,426,37.0,593,0.03337975591421127
220353,427,32.0,571,0.06789486855268478
220870,428,35.0,517,0.03541967272758484
221649,429,43.0,779,0.07412155717611313
222108,430,31.0,459,0.03428809344768524
222529,431,28.0,421,0.03507199138402939
222846,432,12.0,317,0.050995662808418274
223395,433,31.0,549,0.03651003539562225
223844,434,32.0,449,0.2088000476360321
224431,435,39.0,587,0.03784877061843872
224876,436,33.0,445,0.03506335988640785
225297,437,30.0,421,0.05593809857964516
226024,438,53.0,727,0.06997247040271759
226493,439,32.0,469,0.03970186784863472
226948,440,29.0,455,0.1606869250535965
227587,441,49.0,639,0.043813928961753845
228180,442,57.0,593,0.029668621718883514
228601,443,19.0,421,0.028226975351572037
229100,444,29.0,499,0.15345746278762817
229619,445,28.0,519,0.04399550333619118
230138,446,32.0,519,0.03715203329920769
230659,447,26.0,521,0.03127887845039368
231266,448,35.0,607,0.09286637604236603
