frame,episode,ep_return,ep_len,loss
477,1,26.0,477,
926,2,19.0,449,
1383,3,12.0,457,
1906,4,24.0,523,
2323,5,22.0,417,
2732,6,22.0,409,
3141,7,20.0,409,
3634,8,26.0,493,
4059,9,20.0,425,
4594,10,25.0,535,
5137,11,20.0,543,0.016701623797416687
5594,12,22.0,457,0.016852010041475296
5999,13,18.0,405,0.0320596806704998
6474,14,20.0,475,0.004031704273074865
6967,15,23.0,493,0.013489275239408016
7368,16,14.0,401,0.004451502114534378
7867,17,23.0,499,0.028880957514047623
8360,18,18.0,493,0.004009063355624676
8919,19,22.0,559,0.01387654896825552
9550,20,38.0,631,0.0014593095984309912
10001,21,23.0,451,0.002645614091306925
10472,22,28.0,471,0.0265083909034729
10881,23,16.0,409,0.01607438735663891
11352,24,26.0,471,0.04060298204421997
11823,25,23.0,471,0.018071137368679047
12318,26,22.0,495,0.03667463734745979
12775,27,27.0,457,0.057719387114048004
13178,28,14.0,403,0.02406240813434124
13623,29,17.0,445,0.02908395230770111
14056,30,13.0,433,0.022617239505052567
14575,31,19.0,519,0.0486757718026638
15064,32,24.0,489,0.04280169680714607
15563,33,16.0,499,0.0544351190328598
16084,34,29.0,521,0.02862759865820408
16505,35,20.0,421,0.024033311754465103
16958,36,17.0,453,0.020189732313156128
17459,37,34.0,501,0.022370580583810806
17858,38,12.0,399,0.045104801654815674
18369,39,25.0,511,0.023804711177945137
18872,40,23.0,503,0.03118145652115345
19383,41,29.0,511,0.04699628800153732
19950,42,30.0,567,0.013974711298942566
20509,43,27.0,559,0.026081418618559837
21114,44,31.0,605,0.011239521205425262
21637,45,33.0,523,0.02827070839703083
22070,46,13.0,433,0.012848973274230957
22497,47,18.0,427,0.03871249407529831
22958,48,18.0,461,0.03527619689702988
23369,49,19.0,411,0.02290930226445198
23900,50,30.0,531,0.001850160420872271
24427,51,32.0,527,0.044663310050964355
24886,52,22.0,459,0.00619972450658679
25393,53,25.0,507,0.003123503178358078
26044,54,40.0,651,0.010466299019753933
26423,55,15.0,379,0.013659416697919369
26908,56,25.0,485,0.0102561479434371
